OBJECTID,HUC_12,pCanopy
303,010200020201,75.795033933245321
304,010200020202,75.914704768848935
305,010200020203,77.311990913516141
306,010200020204,79.580950174420124
307,010200020205,77.158095808831789
308,010200020301,75.063800349354040
309,010200020302,76.937180973604569
310,010200020303,80.248572401771227
311,010200020304,79.592332102843073
312,010200020401,75.307053052033353
313,010200020402,72.447541805730893
314,010200020403,76.399429780189465
315,010200020404,74.606272281962845
316,010200020405,74.939565585834714
317,010200020406,74.828721969099192
318,010200020407,75.032647329852125
319,010200020408,74.667370662570690
320,010200020501,77.831837892927794
321,010200020502,78.595604936819583
322,010200020503,71.483123181377309
323,010200020504,74.096655466643085
324,010200020505,76.045868892867944
325,010200020506,74.958511429102401
326,010200020507,75.125804170878638
327,010200030101,73.144433469733315
328,010200030102,73.372909436919286
329,010200030103,72.899143624478484
330,010200030104,72.028834930470495
331,010200030105,72.181152185018348
332,010200030106,65.372523411644238
333,010200030107,65.117723208634914
334,010200030108,72.263800223009156
335,010200030109,73.096945796429523
336,010200030110,70.077893928169672
337,010200030111,69.379973562458687
338,010200030112,77.093803484895346
339,010200030113,75.801198402130495
340,010200030201,71.251175377655713
341,010200030202,58.042102824119510
342,010200030203,72.600355377008654
343,010200030204,73.677711198660035
344,010200030205,73.279039807868301
345,010200030301,75.329357254058863
346,010200030302,74.840620374257114
347,010200030303,73.097666212646146
348,010200030401,72.642587966951581
349,010200030402,72.182660597966802
350,010200030403,73.831716650351524
351,010200030404,71.430856883622880
352,010200030501,76.883296092244194
353,010200030502,74.368321858864022
354,010200030503,71.160450003889096
355,010200030504,75.623692401898253
356,010200030505,72.817175044154851
357,010200030506,74.802520780137996
358,010200030507,75.003325731660965
359,010200030508,73.543916764557807
360,010200030509,69.124038394899159
361,010200030510,74.112314388654013
362,010200030511,72.422559947696001
363,010200030601,63.512476463503589
364,010200030602,62.236416258914581
365,010200030603,66.295414872570703
366,010200030604,72.846630445143461
367,010200030605,66.013227936304858
368,010200030606,73.238228999464951
369,010200030607,73.033057062853871
370,010200030701,70.481399247813670
371,010200030702,74.314074287834444
372,010200030703,71.499360533640953
373,010200030704,75.117040779258076
374,010200040101,73.270353230071777
375,010200040102,73.187403143679433
376,010200040103,73.379381739755573
377,010200040104,73.983667204533830
378,010200040105,77.587720802606754
379,010200040106,74.061365426165622
380,010200040107,73.495885659462985
381,010200040108,73.117551266586247
382,010200040109,75.942799040567323
383,010200040110,72.364348347842565
384,010200040111,73.840221792918967
385,010200040201,72.208705589029705
386,010200040202,69.471525172186745
387,010200040203,68.878612258758281
388,010200040204,69.797463154541333
389,010200040205,66.848654521748585
390,010200040301,77.439890370001251
391,010200040302,74.004335631286409
392,010200040303,76.512948873633860
393,010200040304,75.121131947299730
394,010200040305,75.069760900140651
395,010200040306,75.409879612666842
396,010200040307,74.462163857133149
397,010200040308,67.644110742098036
398,010200040309,74.201039092694671
399,010200040310,69.330646105470905
400,010200040311,75.364396226016837
401,010200040312,69.773674229121298
402,010200040401,79.138052666788298
403,010200040402,79.521436555139474
404,010200040403,73.123093795696676
405,010200040404,74.842708205191286
406,010200040405,73.687016263348681
407,010200040406,79.281027738264584
408,010200040407,78.028701660215816
409,010200040408,73.057332568029423
410,010200040409,75.572635153699892
411,010200040410,70.837723628608671
412,010200040501,75.357411951979842
413,010200040502,76.948225500219081
414,010200040503,76.539784841234962
415,010200040504,72.087163704953838
416,010200040601,73.388195302004320
417,010200040602,75.781366084461666
418,010200040603,73.501788642122520
419,010200040604,73.752847372765899
420,010200050101,68.233285975569927
421,010200050102,74.105778513308508
422,010200050103,74.635874686832011
423,010200050104,71.885356037151709
424,010200050201,69.930846690419145
425,010200050202,71.607695458268864
426,010200050203,73.319167376458807
427,010200050204,72.606018382057400
428,010200050205,71.598077700854091
429,010200050206,77.873495060017632
430,010200050207,73.911815671870727
431,010200050208,67.408047954798278
432,010200050301,75.079609283631754
433,010200050302,78.590209253990352
434,010200050303,72.647331495865700
435,010200050304,77.390163934426226
436,010200050305,76.125315101508804
437,010200050306,74.300979811011544
438,010200050307,74.052724939069236
439,010200050308,75.020654257621672
440,010200050309,72.993088987311978
441,010200050310,72.760710486740265
442,010200050311,70.661333975826210
443,010200050401,70.958678730287104
444,010200050402,73.371039549342569
445,010200050403,70.507991998990860
446,010200050404,73.186792265412890
447,010200050405,70.407823157202728
448,010200050406,72.707564447864570
449,010200050407,68.877619712198154
450,010200050408,67.560077270901175
451,010200050501,69.952067593749646
452,010200050502,63.575884144446519
453,010200050503,70.413833894232980
454,010200050504,72.670608992216657
455,010200050505,64.122481582574878
456,010200050506,64.575000000000003
457,010200050507,69.431235431235436
458,010200050508,72.327288568302464
459,010200050509,68.975556408288568
460,010200050510,59.780922089117446
461,010200050601,74.054476484291385
462,010200050602,71.484977756593580
463,010200050603,60.503824638725263
464,010200050701,60.958005353163770
465,010200050702,62.442347004548886
466,010200050703,65.031448697992246
467,010200050704,62.537045895452977
468,010200050705,55.626508829112794
469,010200050706,59.568688046191042
470,010200050707,52.355996253350988
471,010200050801,68.150634131869765
472,010200050802,70.311520737327186
473,010200050803,67.572294653683173
474,010200050804,64.157288672545903
475,010200050805,51.644422140076870
476,010200050901,69.003897807601192
477,010200050902,69.827117044336546
478,010200050903,67.035551628033446
479,010200050904,63.718741502764431
480,010200050905,69.521068859198351
481,010200050906,62.300915492957749
482,010200051001,63.032921577515864
483,010200051002,66.183491515674433
484,010200051003,42.635662913256319
485,010200051004,72.083810987650367
486,010200051005,70.889417963444771
487,010200051006,71.776525690468262
488,010200051007,63.127894036266831
489,010200051008,65.625554492476297
490,010200051009,67.653514032141999
491,010300010101,73.639915769770710
492,010300010102,74.436099951004408
493,010300010201,73.424071577399189
494,010300010202,73.297390727849603
495,010300010203,75.311901730950453
496,010300010204,73.986864359003263
497,010300010205,75.009267616530209
498,010300010206,71.588309130113274
499,010300010301,73.907482034230725
500,010300010302,76.408603466618970
501,010300010303,76.088083686232721
502,010300010304,72.612525033987751
503,010300010305,73.124299963548395
504,010300010306,71.534112683143974
505,010300010307,73.079984124331546
506,010300010308,72.910666247423407
507,010300010309,68.347313058357912
508,010300010310,73.475807619875411
509,010300010401,74.653237309467201
510,010300010402,74.329042588587583
511,010300010403,69.893684559083795
512,010300010404,73.585605351170571
513,010300010501,75.229713856129308
514,010300010502,75.118204655836550
515,010300010503,71.776068477503003
516,010300010504,77.411664662429132
517,010300010505,73.354781947020498
518,010300010506,75.388162802342094
519,010300010507,71.492990361747403
520,010300010508,75.275493999114843
521,010300010509,76.663234650721890
522,010300010510,74.190362114941294
523,010300010601,69.483525919643810
524,010300010602,72.525796877309887
525,010300010603,71.997110688880866
526,010300010604,68.250179899256423
527,010300010605,74.436859944536081
528,010300010606,68.403065301082293
529,010300010607,72.996201466673369
530,010300010608,70.945548547961280
531,010300010609,69.569485070079224
532,010300010610,71.082652651745605
533,010300020101,73.692931934559752
534,010300020102,78.662419829051345
535,010300020103,76.732540028658647
536,010300020104,77.710928072673042
537,010300020105,75.067188851810656
538,010300020106,71.147410215733203
539,010300020201,81.209513816019580
540,010300020202,74.055716839580114
541,010300020203,75.846196206404244
542,010300020204,73.764360018091367
543,010300020301,78.589880594812783
544,010300020302,66.288135191786182
545,010300020303,71.731228925818883
546,010300020304,76.453144835018307
547,010300020401,74.896244549674151
548,010300020402,74.317174802957169
549,010300020403,74.326993961257941
550,010300020404,74.301824017535623
551,010300020405,79.037355856876260
552,010300020406,72.689010889928568
553,010300020501,68.038124696531014
554,010300020502,72.712026872887478
555,010300020503,74.009725944497276
556,010300020504,72.045187528242209
557,010300020505,69.739698139698135
558,010300020506,71.056326203887195
559,010300030101,71.004600604393133
560,010300030102,73.828093333333328
561,010300030103,75.812057346439460
562,010300030104,66.523044388244529
563,010300030105,67.933427867751320
564,010300030106,73.238214165450671
565,010300030201,74.061200899952524
566,010300030202,69.599208716294356
567,010300030203,71.587945500122572
568,010300030301,68.869058202939783
569,010300030302,72.156614156236515
570,010300030303,73.740399357523543
571,010300030304,67.868956233108278
572,010300030401,76.896106035209428
573,010300030402,74.097359712637171
574,010300030501,80.541811175337187
575,010300030502,68.838499485583142
576,010300030503,71.007950169473474
577,010300030601,72.433753794124755
