OBJECTID,HUC_12,HUC12_Pop
728,010400020504,914.233110558000021
729,010400020505,2374.510514619999867
730,010400020601,2056.722026670000105
731,010400020602,5668.348576200000025
732,010400020603,1043.184390639999947
733,010400020604,1194.890709439999910
734,010400020605,1332.494328439999890
735,010400020606,2007.986120779999965
736,010400020701,1539.611298799999986
737,010400020702,1356.543850250000105
738,010400020703,2823.218013870000050
739,010400020704,3620.928339380000125
740,010400020801,2192.528672129999904
741,010400020802,1478.380023749999964
742,010400020803,30558.053281100001186
743,010400020901,945.042061272999945
744,010400020902,2091.674981080000180
745,010400020903,1705.828351560000101
746,010400020904,7258.514348839999911
747,010400020905,2458.757068509999954
748,010400020906,1429.085024299999986
749,010400020907,2889.600645970000187
750,010400020908,4287.062404010000137
751,010400020909,2824.132665799999813
752,010400020910,13276.427536200000759
753,010400021001,3602.262558920000174
754,010400021002,13966.389042099999642
755,010400021003,2565.150185899999997
756,010400021004,1353.963252799999964
757,010400021005,19588.728340800000296
758,010400021006,5429.584494650000124
759,010400021007,16885.935289699998975
760,010500010101,114.611250303999995
761,010500010102,205.370571848999987
762,010500010207,47.866087420299998
763,010500010301,0.273579830377000
764,010500010302,0.000000000000000
765,010500010303,130.921457341999997
766,010500010304,0.000000000000000
767,010500010305,22.775946994600002
768,010500010306,0.000000000000000
769,010500010307,97.252339041699997
770,010500010401,22.396203559300002
771,010500010402,59.381066218000001
772,010500010403,0.799169998661000
773,010500010404,28.287823375500000
774,010500010501,0.058511974755700
775,010500010502,3.229658550320000
776,010500010503,0.000000000000000
777,010500010504,228.047663298999993
778,010500010505,3.447705122960000
779,010500010506,15.021762507600000
780,010500010601,10.909173437000000
781,010500010602,12.299059780400000
782,010500010603,0.087272121174500
783,010500010604,177.733158389000010
784,010500010605,167.803143737999989
785,010500010606,1011.759919859999968
786,010500010701,69.361082272499999
787,010500010702,102.567699976000000
788,010500010705,0.000000000000000
789,010500010706,0.000000000000000
790,010500010707,0.000000000000000
791,010500010708,0.000000000000000
792,010500010801,1090.431147629999941
793,010500010802,272.377423747000023
794,010500010804,329.354396032000011
795,010500010806,2500.642564509999829
796,010500010809,571.672044183000025
797,010500010810,576.609063803000026
798,010500020101,342.200402242999985
799,010500020102,226.154476178000010
800,010500020103,28.218401933900001
801,010500020104,25.781893009600001
802,010500020201,33.734237652600001
803,010500020202,29.440876970400002
804,010500020203,168.327242866000006
805,010500020204,231.698851370000000
806,010500020205,953.591791671000010
807,010500020301,0.000000000000000
808,010500020302,0.000000000000000
809,010500020401,0.000000000000000
810,010500020402,0.104366576196000
811,010500020403,0.000000000000000
812,010500020501,1.606583578760000
813,010500020502,148.317419416000007
814,010500020503,21.244577477400000
815,010500020601,8.224474111779999
816,010500020602,0.582183451000000
817,010500020603,673.905968799999982
818,010500020604,2550.237622430000101
819,010500020701,1060.580813130000024
820,010500020702,0.000000000000000
821,010500020703,3.106938704720000
822,010500020801,549.586604674000000
823,010500020802,411.662928856000008
824,010500020803,2249.467282049999994
825,010500020804,506.543831163999982
826,010500020805,10.164414243100000
827,010500020901,5.365181319900000
828,010500020902,43.183694783100002
829,010500020903,61.519226197599998
830,010500020904,1350.874392039999975
831,010500020905,968.342830284000001
832,010500020906,830.629124462000050
833,010500020907,0.000000000000000
834,010500020908,0.001762654268530
835,010500021001,37.645049361100000
836,010500021002,34.501995760400000
837,010500021003,3.233318542810000
838,010500021004,94.341714988199996
839,010500021005,1728.622021839999888
840,010500021006,251.337680589000001
841,010500021007,0.000000000000000
842,010500021008,0.000163035918376
843,010500021101,39.734049103899999
844,010500021102,421.112649830000009
845,010500021103,780.169184262000044
846,010500021104,0.000000000000000
847,010500021105,0.810395925415000
848,010500021106,524.992241439000054
849,010500021107,0.000000000000000
850,010500021108,1.420434505010000
851,010500021109,677.666820035999990
852,010500021110,0.000000000000000
853,010500021111,2.455498766150000
854,010500021201,3.000000130620000
855,010500021202,5.440672744300000
856,010500021203,14.809209560999999
857,010500021204,107.366294468000007
858,010500021205,375.651848555000015
859,010500021206,9.711410334640000
860,010500021207,5.549726566530000
861,010500021208,133.635984646999987
862,010500021209,88.591609107799997
863,010500021210,640.724589138000056
864,010500021211,200.273684419000006
865,010500021212,214.600737686000002
866,010500021213,420.177161768000019
867,010500021214,624.719110922000027
868,010500021215,1153.504610760000105
869,010500021301,782.950957582000001
870,010500021302,5886.982434649999959
871,010500021303,1306.449879539999984
872,010500021304,1389.221107059999895
873,010500021401,239.818815878999999
874,010500021402,1988.994633819999990
875,010500021403,4.138843749660000
876,010500021404,329.879900082999995
877,010500021405,1483.899193160000095
878,010500021406,991.233131862000050
879,010500021407,2277.964533819999815
880,010500021408,4701.102947090000271
881,010500021409,0.000000000000000
882,010500021410,8.161885103740000
883,010500021501,1575.664757210000062
884,010500021502,314.429176924999979
885,010500021503,4943.972899110000071
886,010500021504,286.537339858999985
887,010500021505,757.630964038000002
888,010500021506,292.361961585000017
889,010500021507,1948.100291799999923
890,010500021508,143.166633714999989
891,010500021509,8.280306700090000
892,010500021601,965.039637478000031
893,010500021602,1761.242561869999918
894,010500021701,1013.454568620000032
895,010500021702,2085.149258320000172
896,010500021703,21.175612085800001
897,010500021801,2301.806999899999937
898,010500021802,2134.519127189999836
899,010500021803,3271.513146669999969
900,010500021901,1013.508214370000019
901,010500021902,1465.416548819999889
902,010500021903,1409.051163500000030
903,010500021904,3975.999791539999933
904,010500021905,1331.737043889999995
905,010500021906,2120.887657669999953
906,010500021907,17436.776955000001180
907,010500021908,3704.403585389999989
908,010500021909,21.659037917999999
909,010500030101,1081.606603219999897
910,010500030102,1412.472589190000008
911,010500030103,1998.868503449999935
912,010500030104,3053.990695410000171
913,010500030105,1731.826262929999984
914,010500030106,3548.510934729999917
