OBJECTID,HUC_12,PIMPV
667,010300032407,2.535129737404630
668,010300032408,1.076015904516000
669,010300032409,5.752496882118300
670,010400010101,0.480014979682408
671,010400010102,0.318542969575863
672,010400010103,0.181483329176021
673,010400010104,0.353518921802709
674,010400010105,0.542661284710140
675,010400010106,0.444190632382514
676,010400010107,2.081932743758470
677,010400010108,0.523793373889819
678,010400010109,0.861996483556117
679,010400010110,0.366807739867983
680,010400010201,0.509659424544921
681,010400010202,0.288785575480284
682,010400010203,0.367887464754630
683,010400010301,0.227698715723707
684,010400010302,0.212548740647065
685,010400010303,0.295445387503438
686,010400010304,0.297371057905284
687,010400010305,0.374458492600216
688,010400010306,0.558235739004882
689,010400010401,0.300102067167575
690,010400010402,0.218167520350258
691,010400010403,0.169190119208554
692,010400010404,0.211845162421639
693,010400010405,0.172532493995439
694,010400010406,0.458095950091516
695,010400010501,0.204199040461937
696,010400010502,0.550234319349155
697,010400010601,0.378404373797712
698,010400010602,0.658312376264113
699,010400010603,0.445677060812487
700,010400010604,0.557562889385212
701,010400010605,0.464152464518064
702,010400010606,3.796026829580890
703,010400010607,4.356204902971360
704,010400020101,1.363313587864290
705,010400020102,1.297346713454900
706,010400020103,0.404751154976900
707,010400020201,0.048417039780004
708,010400020202,0.565981795259009
709,010400020203,1.239157669514790
710,010400020204,2.403051919856090
711,010400020205,1.144107089440620
712,010400020206,0.426713267432714
713,010400020207,1.271364022726260
714,010400020301,0.362340831016861
715,010400020302,0.486438744341810
716,010400020303,0.468979490138481
717,010400020304,0.660211311373524
718,010400020305,0.560609487775287
719,010400020401,0.636646709089579
720,010400020402,0.206587471212950
721,010400020403,0.417280061241314
722,010400020404,0.452665502887069
723,010400020405,2.143602399481990
724,010400020406,3.367687271326790
725,010400020501,0.347901573997879
726,010400020502,0.799996284760708
727,010400020503,0.768252154167732
728,010400020504,1.390588914549650
729,010400020505,1.229732727386480
730,010400020601,1.419937788303490
731,010400020602,4.489517364129310
732,010400020603,0.838962895139408
733,010400020604,1.266459960852920
734,010400020605,2.173775917178170
735,010400020606,1.329266346938970
736,010400020701,0.693467241640188
737,010400020702,0.823391059202577
738,010400020703,2.724682896391700
739,010400020704,2.070701726831610
740,010400020801,1.209977166378260
741,010400020802,2.665282707203290
742,010400020803,16.485471764293202
743,010400020901,0.900992001757051
744,010400020902,1.524607007089280
745,010400020903,2.114826856582550
746,010400020904,3.979611788397100
747,010400020905,1.405044120736750
748,010400020906,2.475474539741890
749,010400020907,3.125624294379920
750,010400020908,4.981488455292210
751,010400020909,1.273087670410370
752,010400020910,6.366255222785700
753,010400021001,2.629505039794260
754,010400021002,6.442777458851350
755,010400021003,1.387704536593340
756,010400021004,2.423849013440090
757,010400021005,7.940870812930550
758,010400021006,2.854956184114960
759,010400021007,10.013834769945300
760,010500010101,0.170542262835157
761,010500010102,0.383417750952858
762,010500010207,0.170503726087736
763,010500010301,0.209205966551153
764,010500010302,0.328028884728537
765,010500010303,0.484145326800407
766,010500010304,0.089720908401632
767,010500010305,0.343560919515524
768,010500010306,0.373327904206066
769,010500010307,0.315162082339964
770,010500010401,0.308137957760124
771,010500010402,0.286881003643591
772,010500010403,0.234090030049686
773,010500010404,0.354166666666667
774,010500010501,0.104183906524114
775,010500010502,0.257399729676371
776,010500010503,0.230404562466584
777,010500010504,0.562864827744077
778,010500010505,0.275906636099272
779,010500010506,0.275757766714979
780,010500010601,0.634231131615712
781,010500010602,0.407037538764680
782,010500010603,0.583737119400774
783,010500010604,0.479479832068772
784,010500010605,0.489327641408751
785,010500010606,0.990243688061702
786,010500010701,0.217375271149675
787,010500010702,0.428870179250407
788,010500010705,0.222633573572258
789,010500010706,0.242084101189479
790,010500010707,0.194445336330069
791,010500010708,0.265103314548870
792,010500010801,2.094063358242320
793,010500010802,2.531620893297400
794,010500010804,2.383174022568070
795,010500010806,2.973044829372160
796,010500010809,3.190506666666670
797,010500010810,1.344903450726870
798,010500020101,1.035374712889270
799,010500020102,0.585017494588703
800,010500020103,0.499855353969500
801,010500020104,0.410707544145825
802,010500020201,0.332788800780497
803,010500020202,0.620692918069130
804,010500020203,0.399634444235664
805,010500020204,0.491414947083140
806,010500020205,2.818840579710150
807,010500020301,0.307056282729972
808,010500020302,0.780424610716690
809,010500020401,0.591070247288890
810,010500020402,1.132660051279040
811,010500020403,0.541027221064781
812,010500020501,0.272455030046517
813,010500020502,0.680937506825976
814,010500020503,0.669552548622706
815,010500020601,0.562109173233106
816,010500020602,0.463662236781292
817,010500020603,2.007432013963180
818,010500020604,1.924144832727740
819,010500020701,1.701526583611160
820,010500020702,0.003392705682782
821,010500020703,1.350509930220080
822,010500020801,0.903067774266158
823,010500020802,1.063660250534680
824,010500020803,1.991305585465170
825,010500020804,1.734938384299410
826,010500020805,1.820163934426230
827,010500020901,0.982385992421273
828,010500020902,0.495946107963912
829,010500020903,0.832683809741223
830,010500020904,2.095712503631300
831,010500020905,1.974829340628440
832,010500020906,1.973277000264060
833,010500020907,0.028829709259712
834,010500020908,0.769919168591224
835,010500021001,0.608796450508307
836,010500021002,1.793011847284430
837,010500021003,0.153847981562003
838,010500021004,0.204290960497016
839,010500021005,1.662914832631020
840,010500021006,2.479129685043360
841,010500021007,0.056963912913808
842,010500021008,0.900886802295253
843,010500021101,0.277657986399071
844,010500021102,0.822832558770232
845,010500021103,1.292709369968530
846,010500021104,0.000000000000000
847,010500021105,1.234860248447200
848,010500021106,2.175131995776140
849,010500021107,0.000000000000000
850,010500021108,1.350837138508370
851,010500021109,2.762899692579570
852,010500021110,0.000000000000000
853,010500021111,6.115025906735750
854,010500021201,0.000098061648089
855,010500021202,0.126692809820733
856,010500021203,0.352935349012304
857,010500021204,0.247708302025984
858,010500021205,0.572831559727781
859,010500021206,0.181558188503724
860,010500021207,0.277791305117762
861,010500021208,0.605203050315613
862,010500021209,0.164165688288817
863,010500021210,1.269684403943090
864,010500021211,0.660446219528991
865,010500021212,0.558429475251210
866,010500021213,0.786957993306006
867,010500021214,0.796496842940965
868,010500021215,1.437095348693810
869,010500021301,0.971981804275190
870,010500021302,7.449044925835020
871,010500021303,1.610066792855120
872,010500021304,2.600280952685010
873,010500021401,0.683773270797650
874,010500021402,1.428432516530530
875,010500021403,4.663101604278070
876,010500021404,1.428362192422860
877,010500021405,2.454218062888150
878,010500021406,6.330911680911680
879,010500021407,3.221722106954020
880,010500021408,4.837801618083970
881,010500021409,0.066848953422591
882,010500021410,4.036029226505420
883,010500021501,2.199704370179950
884,010500021502,1.247654184702090
885,010500021503,4.861518373137100
886,010500021504,1.052963714221320
887,010500021505,2.512089613405580
888,010500021506,1.289223956136650
889,010500021507,2.675938185169100
890,010500021508,0.626467547810677
891,010500021509,3.364502859436140
892,010500021601,1.068596661327040
893,010500021602,1.364449200509410
894,010500021701,2.409688808889200
895,010500021702,2.893476004780170
896,010500021703,3.129806772527260
897,010500021801,1.346933182880630
898,010500021802,2.229196839422880
899,010500021803,3.400264165184110
900,010500021901,2.786297462128660
901,010500021902,3.208819450110140
902,010500021903,0.714980166037101
903,010500021904,2.227716218866440
904,010500021905,4.874079798267380
905,010500021906,8.635778777921971
906,010500021907,6.568672418980020
907,010500021908,3.161617776721960
908,010500021909,4.769346809473530
909,010500030101,1.170057570440410
910,010500030102,1.024047165429710
911,010500030103,0.998368117554079
912,010500030104,1.579378683252530
913,010500030105,1.897074106058170
914,010500030106,2.307497585444120
915,010500030107,4.690604230686770
916,010500030201,0.880041274380210
917,010500030202,1.915239092925810
918,010500030203,1.702722935060940
919,010500030204,2.007017471652300
920,010500030205,0.687151441010326
921,010500030206,1.995078071961980
922,010500030301,1.305039079984850
923,010500030302,1.112282152442490
924,010500030303,2.509900990099010
925,010500030304,2.781619449073620
926,010500030305,6.338618994714340
927,010500030306,1.619184376794950
928,010500030307,5.375570776255710
929,010500030401,0.558550787146862
